network,scan,step,filter,aggregation,model,aggregation_time
merged_f1_t40,merged,40,1,1,NETSPA,0.005338899994967505
merged_f1_t40,merged,40,1,1,TVA,0.005338899994967505
merged_f1_t40,merged,40,1,1,MULTI,0.005338899994967505
merged_f1_t40,merged,40,1,2,NETSPA,0.008764099999098107
merged_f1_t40,merged,40,1,2,TVA,0.008764099999098107
merged_f1_t40,merged,40,1,2,MULTI,0.008764099999098107
merged_f1_t40,merged,40,1,3,NETSPA,0.007532799994805828
merged_f1_t40,merged,40,1,3,TVA,0.007532799994805828
merged_f1_t40,merged,40,1,3,MULTI,0.007532799994805828
merged_f1_t400,merged,400,1,0,NETSPA,0
merged_f1_t400,merged,400,1,0,TVA,0
merged_f1_t400,merged,400,1,0,MULTI,0
merged_f1_t400,merged,400,1,1,NETSPA,0.004940999991958961
merged_f1_t400,merged,400,1,1,TVA,0.004940999991958961
merged_f1_t400,merged,400,1,1,MULTI,0.004940999991958961
merged_f1_t400,merged,400,1,2,NETSPA,0.006551800004672259
merged_f1_t400,merged,400,1,2,TVA,0.006551800004672259
merged_f1_t400,merged,400,1,2,MULTI,0.006551800004672259
merged_f1_t400,merged,400,1,3,NETSPA,0.006560100009664893
merged_f1_t400,merged,400,1,3,TVA,0.006560100009664893
merged_f1_t400,merged,400,1,3,MULTI,0.006560100009664893
merged_f1_t410,merged,410,1,0,NETSPA,0
merged_f1_t410,merged,410,1,0,TVA,0
merged_f1_t410,merged,410,1,0,MULTI,0
merged_f1_t410,merged,410,1,1,NETSPA,0.004094000003533438
merged_f1_t410,merged,410,1,1,TVA,0.004094000003533438
merged_f1_t410,merged,410,1,1,MULTI,0.004094000003533438
merged_f1_t410,merged,410,1,2,NETSPA,0.010576500004390255
merged_f1_t410,merged,410,1,2,TVA,0.010576500004390255
merged_f1_t410,merged,410,1,2,MULTI,0.010576500004390255
merged_f1_t410,merged,410,1,3,NETSPA,0.007078599999658763
merged_f1_t410,merged,410,1,3,TVA,0.007078599999658763
merged_f1_t410,merged,410,1,3,MULTI,0.007078599999658763
merged_f1_t420,merged,420,1,0,NETSPA,0
merged_f1_t420,merged,420,1,0,TVA,0
merged_f1_t420,merged,420,1,0,MULTI,0
merged_f1_t420,merged,420,1,1,NETSPA,0.005649100028676912
merged_f1_t420,merged,420,1,1,TVA,0.005649100028676912
merged_f1_t420,merged,420,1,1,MULTI,0.005649100028676912
merged_f1_t420,merged,420,1,2,NETSPA,0.01071349999983795
